Date,Description,Original Description,Category,Amount,Status
2026-03-03,"Kia Motors Finance","KMF              KMFUSA.com ***********4937",Auto Payment,-527.73,Posted
2026-03-03,"The Home Depot","HOME DEPOT       AUTO PYMT  ***********0396",Home Improvement,-250.00,Posted
2026-03-03,"Harris County Toll Road Authority","HCTRA EFT        EZTAGSTPPD ***********7223",Auto & Transport,-10.00,Posted
2026-03-03,"McDonald's","MCDONALD'S F40992        KATY         TX",Fast Food,-20.52,Posted
2026-03-03,"PayPal Purchase","PAYPAL*Morrill Micah     Visa Direct  CA",Uncategorized,35.09,Posted
2026-03-02,"M&T Mortgage","M & T MORTGAGE   MTG PYT    ***********6182",Mortgage & Rent,-1558.50,Posted
2026-03-02,"Hyundai Motor Finance","HMF              HMFUSA.com ***********5062",Auto Payment,-869.76,Posted
2026-03-02,"CenterPoint Energy","CPENERGY ENTEX   ENT ACH DR ***********7098",Utilities,-56.00,Posted
2026-03-02,"PayPal Purchase","PAYPAL           INST XFER  ***********.COM",Uncategorized,-24.99,Posted
2026-03-02,"Greenlight","GREENLIGHT       APP        ***********IGHT",Allowance,-20.00,Posted
2026-03-02,"USAA Funds Transfer DB","USAA FUNDS TRANSFER DB",Transfer,-500.00,Posted
2026-03-02,"Walmart","WAL-MART #3226           KATY         TX",Shopping,-53.42,Posted
2026-03-02,"ExxonMobil","EXXON TIME MART @ JORD   BROOKSHIRE   TX",Gas,-31.32,Posted
2026-03-02,"Affirm","AFFIRM * PAY 5ZH9HD65    855-423-3729 CA",Financial,-27.51,Posted
2026-03-02,"Roku","The Roku Channel         816-2728107  DE",Television,-26.79,Posted
2026-03-02,"YouTube Premium","GOOGLE *YouTubePremium   Mountain ViewCA",Entertainment,-22.99,Posted
2026-03-02,"Samsung","Samsung                  800-7267864  NJ",Electronics & Software,-16.24,Posted
2026-03-02,"Pinwheel.com","PINWHEEL KID PHONE       PINWHEEL.COM TX",Bills & Utilities,-14.99,Posted
2026-03-02,"McDonald's","MCDONALD'S F40992        KATY         TX",Fast Food,-8.64,Posted
2026-03-02,"Time Mart Jordan Ranch","TIME MART @ JORDAN RANCH BROOKSHIRE   TX",Gas,-6.69,Posted
2026-03-02,"Pokémon Go","GOOGLE *Pokemon          855-836-3987 CA",Electronics & Software,-2.99,Posted
2026-02-27,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-139.37,Posted
2026-02-27,"Alkami Technolog Payroll","ALKAMI TECHNOLOG PAYROLL    ***********3Y54",Paycheck,5297.33,Posted
2026-02-26,"Sunstrong Manage Payments","SUNSTRONG MANAGE PAYMENTS   ***********6231",Mortgage & Rent,-128.23,Posted
2026-02-25,"Music & Arts","MUSIC&ARTS.COM           888-731-5396 MD",Shopping,-52.55,Posted
2026-02-25,"Costco","COSTCO WHSE #1167        KATY         TX",Shopping,-9.48,Posted
2026-02-24,"Harris County Toll Road Authority","HCTRA EFT        EZTAGSTPPD ***********1578",Auto & Transport,-15.03,Posted
2026-02-23,"USAA Credit Card","USAA CREDIT CARD PAYMENT    ***********2531",Credit Card Payment,-534.00,Posted
2026-02-23,"USAA Credit Card","USAA CREDIT CARD PAYMENT    ***********4284",Credit Card Payment,-290.00,Posted
2026-02-23,"Barbecue Inn","BARBECUE INN             HOUSTON      TX",Restaurants,-144.98,Posted
2026-02-23,"Retrogames Retro Vide Retrovgames Cpa","RETROGAMES* RETRO VIDE   RETROVGAMES.CPA",Electronics & Software,-34.97,Posted
2026-02-23,"Tropicalnewsst","TROPICALNEWSST2528       MIAMI        FL",Newspapers & Magazines,-16.03,Posted
2026-02-23,"Audible","Audible*GL9K18AY3        Amzn.com/billNJ",Books,-14.95,Posted
2026-02-23,"Shipley Do-Nuts","SHIPLEY DO-NUTS FC0137   832-3817925  TX",Fast Food,-13.49,Posted
2026-02-20,"Robinhood","ROBINHOOD        Funds      ***********7009",Transfer,-100.00,Posted
2026-02-20,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-211.89,Posted
2026-02-20,"McDonald's","MCDONALD'S F13012        KATY         TX",Fast Food,-26.49,Posted
2026-02-19,"Department of Education","DEPT EDUCATION   STUDENT LN ***********O111",Student Loan,-262.18,Posted
2026-02-19,"H-E-B Gas/Carwash","H-E-B GAS/CARWASH #727   KATY         TX",Gas,-35.76,Posted
2026-02-19,"H-E-B","H-E-B #797               KATY         TX",Groceries,-27.91,Posted
2026-02-19,"Great Clips","0947 GREAT CLIPS AT GRA  KATY         TX",Hair,-22.00,Posted
2026-02-19,"Whataburger","WHATABURGER 1660         KATY         TX",Fast Food,-18.15,Posted
2026-02-19,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-8.54,Posted
2026-02-18,"Interest Paid","INTEREST PAID",Interest Income,0.02,Posted
2026-02-18,"Fidium Fiber Cy","FIDIUM FIBER     BILLPAY    ***********CY P",Utilities,-86.45,Posted
2026-02-18,"Cash App Transfer to Micah Morrill","CASH APP*MICAH MORRILL*  Oakland      CA",Transfer,-25.00,Posted
2026-02-18,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-8.43,Posted
2026-02-17,"M&T Mortgage","M & T MORTGAGE   MTG PYT    ***********6182",Mortgage & Rent,-1558.50,Posted
2026-02-17,"Capital One","CAPITAL ONE      TRANSFER   ***********7FB8",Transfer,-420.00,Posted
2026-02-17,"Citi Credit Card Payment","CITI AUTOPAY     PAYMENT    ***********0068",Credit Card Payment,-133.77,Posted
2026-02-17,"Greenlight","GREENLIGHT       APP        ***********IGHT",Allowance,-5.00,Posted
2026-02-17,"CVS","CVS/PHARMACY #01996      KATY         TX",Pharmacy,-67.09,Posted
2026-02-17,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-41.12,Posted
2026-02-17,"Electronic Arts","EA *ELECTRONIC ARTS      help.ea.com  CA",Electronics & Software,-37.86,Posted
2026-02-17,"Electronic Arts","EA *ELECTRONIC ARTS      HELP.EA.COM  CA",Electronics & Software,-37.86,Posted
2026-02-17,"Disney+","Roku for Disney Electro  816-2728107  DE",Entertainment,-20.18,Posted
2026-02-17,"Barnes & Noble","BARNES & NOBLE #3557     KATY         TX",Books,-12.65,Posted
2026-02-17,"Peacock TV","Roku for Peacock TV LLC  816-2728107  DE",Television,-11.79,Posted
2026-02-17,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-10.61,Posted
2026-02-17,"Amazon","Amazon.com*B96SQ5C82     Amzn.com/billWA",Shopping,-8.19,Posted
2026-02-17,"Barnes & Noble","BARNES & NOBLE #3557     KATY         TX",Books,-7.20,Posted
2026-02-17,"Jimmy Changas","JIMMY CHANGAS KATY       KATY         TX",Restaurants,-4.23,Posted
2026-02-17,"The Home Depot","HOMEDEPOT.COM            800-430-3376 GA",Home Improvement,-3.24,Posted
2026-02-17,"CVS","CVS/PHARMACY #01996      KATY         TX",Pharmacy,-2.93,Posted
2026-02-13,"Barclaycard","BARCLAYCARD US   CREDITCARD ***********3614",Credit Card Payment,-343.10,Posted
2026-02-13,"Mavis","MAVIS02300               KATY         TX",Auto & Transport,-128.77,Posted
2026-02-13,"ExxonMobil","EXXON CHECKOUT #74       KATY         TX",Gas,-33.20,Posted
2026-02-13,"Kingdom Vending I Spring Tx via Cantaloupe","CTLP*KINGDOM VENDING I   SPRING       TX",Fast Food,-3.00,Posted
2026-02-12,"Marco's Pizza","MARCOS PIZZA - 5316      281-769-6777 TX",Fast Food,-17.15,Posted
2026-02-12,"Alkami Technolog Payroll","ALKAMI TECHNOLOG PAYROLL    ***********0Y54",Paycheck,5297.32,Posted
2026-02-10,"La Michoacana Meat Market","LA MICHOACANA SUPERMARK  KATY         TX",Groceries,-77.90,Posted
2026-02-10,"Amazon Digital Services","Amazon Digit*182TC7G43   888-802-3080 WA",Electronics & Software,-6.99,Posted
2026-02-09,"Waller Co Mud","WALLER CO MUD 37 FBS MDS WA ***********",Utilities,-108.00,Posted
2026-02-09,"Klarna","KLARNA* TICKPICK         KLARNA.COM   OH",Financial,-99.88,Posted
2026-02-09,"McDonald's","MCDONALD'S F40992        KATY         TX",Fast Food,-34.49,Posted
2026-02-09,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-9.74,Posted
2026-02-09,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-5.50,Posted
2026-02-06,"BENEFEDS Dental and Vision","FEDVIP-BENEFEDS  FEDVIPPREM ***********4V01",Health & Fitness,-12.37,Posted
2026-02-06,"H-E-B","H-E-B #797               KATY         TX",Groceries,-53.68,Posted
2026-02-06,"US Postal Service","USPS PO 4845770449       KATY         TX",Shipping,-13.98,Posted
2026-02-06,"Amazon Digital Services","Amazon Digit*CS92N2UK3   888-802-3080 WA",Electronics & Software,-4.99,Posted
2026-02-05,"CVS","CVS/PHARMACY #11 11098-  Katy         TX",Pharmacy,-44.97,Posted
2026-02-05,"Shell","SHELL OIL 57541840906    KATY         TX",Gas,-26.12,Posted
2026-02-05,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-10.70,Posted
2026-02-05,"Apple","APPLE COM                CUPERTINO    CA",Electronics & Software,-2.99,Posted
2026-02-04,"Progressive","PROG COUNTY MUT  INS PREM   ***********icah",Financial,-236.33,Posted
2026-02-04,"Atlantic Energy Services","ATLANTIC ENERGY  SERVICES   ***********9251",Utilities,-234.38,Posted
2026-02-04,"Capital One Credit Card Payment","CAPITAL ONE      CRCARDPMT  ***********A5B1",Credit Card Payment,-63.00,Posted
2026-02-04,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-29.99,Posted
2026-02-04,"Walgreens","WALGREENS STORE 5161 FR  KATY         TX",Pharmacy,-29.22,Posted
2026-02-04,"Chick-fil-A","CHICK-FIL-A #02964       KATY         TX",Fast Food,-19.01,Posted
2026-02-04,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-18.08,Posted
2026-02-03,"Kia Motors Finance","KMF              KMFUSA.com ***********4937",Auto Payment,-527.73,Posted
2026-02-03,"The Home Depot","HOME DEPOT       AUTO PYMT  ***********0182",Home Improvement,-250.00,Posted
2026-02-03,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********1-67",Investments,-40.00,Posted
2026-02-03,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-14.48,Posted
2026-02-02,"M&T Mortgage","M & T MORTGAGE   MTG PYT    ***********6182",Mortgage & Rent,-1558.50,Posted
2026-02-02,"Hyundai Motor Finance","HMF              HMFUSA.com ***********5062",Auto Payment,-869.76,Posted
2026-02-02,"Greenlight","GREENLIGHT       APP        ***********IGHT",Allowance,-20.00,Posted
2026-02-02,"The Toasted Yolk Cafe","THE TOASTED YOLK         KATY         TX",Restaurants,-104.00,Posted
2026-02-02,"H-E-B","H-E-B #797               KATY         TX",Groceries,-82.00,Posted
2026-02-02,"Jimmy Changas","JIMMY CHANGAS KATY       KATY         TX",Restaurants,-35.00,Posted
2026-02-02,"Affirm","AFFIRM * PAY ZI8YYQMI    855-423-3729 CA",Financial,-27.51,Posted
2026-02-02,"Wetzel's Pretzels","TST* WETZEL'S PRETZELS   KATY         TX",Fast Food,-27.46,Posted
2026-02-02,"Roku","The Roku Channel         816-2728107  DE",Television,-25.72,Posted
2026-02-02,"Firehouse Subs","FIREHOUSE SUBS 1405 QSR  KATY         TX",Fast Food,-25.00,Posted
2026-02-02,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-19.99,Posted
2026-02-02,"Samsung","Samsung                  800-7267864  NJ",Electronics & Software,-16.24,Posted
2026-02-02,"Samsung","Samsung                  samsung.com/uNJ",Electronics & Software,-16.24,Posted
2026-02-02,"H-E-B","H-E-B #797               KATY         TX",Groceries,-15.28,Posted
2026-02-02,"Pinwheel.com","PINWHEEL KID PHONE       PINWHEEL.COM TX",Bills & Utilities,-14.99,Posted
2026-02-02,"Coffee Fellows Katy Katy","SQ *COFFEE FELLOWS KATY  Katy         TX",Coffee Shops,-12.99,Posted
2026-02-02,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-11.99,Posted
2026-02-02,"Books-A-Million","BOOKS A MILLION 515      KATY         TX",Books,-9.35,Posted
2026-02-02,"Roku","The Roku Channel         816-2728107  DE",Television,-0.44,Posted
2026-01-30,"Zelle Transfer to Ana Cruz","Zelle: Ana Cruz",Transfer,-560.00,Posted
2026-01-30,"Petco.com","PETCO.COM 6989           858-453-7845 CA",Pets,-102.83,Posted
2026-01-30,"Barnes & Noble","BARNES & NOBLE #3557     KATY         TX",Books,-22.49,Posted
2026-01-30,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-10.45,Posted
2026-01-30,"Pokémon Go","GOOGLE *Pokemon          855-836-3987 CA",Electronics & Software,-2.99,Posted
2026-01-30,"Etsy","ETSY  INC.               BROOKLYN     NY",Shopping,-2.71,Posted
2026-01-29,"CenterPoint Energy","CPENERGY ENTEX   ENT ACH DR ***********7098",Utilities,-53.00,Posted
2026-01-29,"PayPal Purchase","PAYPAL           INST XFER  ***********.COM",Uncategorized,-24.99,Posted
2026-01-29,"Shell","SHELL OIL 57541840906    KATY         TX",Gas,-13.58,Posted
2026-01-29,"Prime Video","Prime Video Channels     amzn.com/billWA",Television,-12.99,Posted
2026-01-29,"CVS","CVS/PHARMACY #01996      KATY         TX",Pharmacy,-2.28,Posted
2026-01-29,"Alkami Technolog Payroll","ALKAMI TECHNOLOG PAYROLL    ***********6Y54",Paycheck,5297.33,Posted
2026-01-28,"PayPal Purchase","PAYPAL           INST XFER  ***********SPAY",Uncategorized,-1.08,Posted
2026-01-28,"YouTube Premium","GOOGLE *YouTubePremium   Mountain ViewCA",Entertainment,-22.99,Posted
2026-01-27,"Sunstrong Manage Payments","SUNSTRONG MANAGE PAYMENTS   ***********3377",Uncategorized,-128.23,Posted
2026-01-27,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,361.50,Posted
2026-01-26,"Whiskey Beards Stud Katy","SQ *WHISKEY BEARDS STUD  KATY         TX",Hair,-117.30,Posted
2026-01-26,"Music & Arts","MUSIC&ARTS.COM           888-731-5396 MD",Shopping,-57.81,Posted
2026-01-26,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-41.84,Posted
2026-01-26,"Loy Memhermanngohealthu","LOY*MEMHERMANNGOHEALTHU  281-947-0020 GA",Doctor,-30.00,Posted
2026-01-26,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-27.89,Posted
2026-01-26,"La Michoacana Meat Market","LA MICHOACANA SUPERMARK  KATY         TX",Groceries,-26.01,Posted
2026-01-26,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-18.97,Posted
2026-01-26,"Sunterra Liquors","Sunterra Liquors         Pearland     TX",Alcohol & Bars,-12.75,Posted
2026-01-26,"Kindle","Kindle Svcs*2Y6LY1MX3    888-802-3080 WA",Books,-10.99,Posted
2026-01-23,"Harris County Toll Road Authority","HCTRA EFT        EZTAGSTPPD ***********6919",Auto & Transport,-10.00,Posted
2026-01-23,"Eyeglass World","ALL AMERICAN EYEGLASS R  KATY         TX",Eyecare,-50.84,Posted
2026-01-22,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-187.79,Posted
2026-01-22,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-41.12,Posted
2026-01-22,"H Mart","H MART KATY LLC          KATY         TX",Groceries,-25.47,Posted
2026-01-22,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-17.77,Posted
2026-01-22,"Coffee Fellows Katy Katy","SQ *COFFEE FELLOWS KATY  Katy         TX",Coffee Shops,-16.14,Posted
2026-01-22,"Audible","Audible*164YI6GV3        Amzn.com/billNJ",Books,-14.95,Posted
2026-01-21,"USAA Credit Card","USAA CREDIT CARD PAYMENT    ***********2531",Credit Card Payment,-536.00,Posted
2026-01-21,"USAA Credit Card","USAA CREDIT CARD PAYMENT    ***********4284",Credit Card Payment,-292.00,Posted
2026-01-21,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********5777",Babysitter & Daycare,-260.00,Posted
2026-01-21,"Robinhood","ROBINHOOD        Funds      ***********7009",Transfer,-100.00,Posted
2026-01-21,"Sushi Sakura Katy","SUSHI SAKURA - KATY      281-3964289  TX",Restaurants,-68.52,Posted
2026-01-21,"Wetzel's Pretzels","TST* WETZEL'S PRETZELS   KATY         TX",Fast Food,-16.00,Posted
2026-01-21,"Kindle","Kindle Svcs*ZZ0PC2T13    888-802-3080 WA",Books,-5.99,Posted
2026-01-20,"Fidium Fiber Cy","FIDIUM FIBER     BILLPAY    ***********CY P",Utilities,-86.45,Posted
2026-01-20,"Affirm","AFFIRM.COM PAYME AFFIRM.COM ***********N7N9",Financial,-55.43,Posted
2026-01-20,"Zelle Transfer to Itziar","Zelle: Itziar",Transfer,-100.00,Posted
2026-01-20,"Marco's Pizza","MARCOS PIZZA - 5316      281-769-6777 TX",Fast Food,-73.96,Posted
2026-01-20,"Cash App Transfer to Bree Ricotta","CASH APP*BREE RICOTTA    Oakland      CA",Transfer,-55.00,Posted
2026-01-20,"Tank?d and Loaded","SQ *TANK?D AND LOADED    Katy         TX",Fast Food,-53.58,Posted
2026-01-20,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-48.11,Posted
2026-01-20,"Rooftop Cinema Club Rooftopcitx","ROOFTOP CINEMA CLUB -    WWW.ROOFTOPCITX",Movies & Dvds,-46.44,Posted
2026-01-20,"Rooftop Cinema Club","TST*ROOFTOP CINEMA CLUB  Houston      TX",Movies & Dvds,-38.48,Posted
2026-01-20,"Brookshire Brothers","BROOKSHIRE BROTHERS #9   KATY         TX",Groceries,-24.32,Posted
2026-01-20,"Disney+","Roku for Disney Electro  816-2728107  DE",Entertainment,-20.18,Posted
2026-01-20,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-13.04,Posted
2026-01-20,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-13.01,Posted
2026-01-20,"Nintendo","Nintendo CA1549177409    800-2553700  WA",Electronics & Software,-6.41,Posted
2026-01-20,"Prime Video","Prime Video *053MC6QA3   888-802-3080 WA",Television,-5.99,Posted
2026-01-20,"CVS","CVS/PHARMACY #01 01996-  KATY         TX",Pharmacy,-4.08,Posted
2026-01-16,"Interest Paid","INTEREST PAID",Interest Income,0.02,Posted
2026-01-16,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********3-57",Investments,-30.00,Posted
2026-01-16,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********1-25",Investments,-20.00,Posted
2026-01-16,"Music & Arts","MUSIC & ARTS 1 C         888-731-5396 MD",Shopping,-52.55,Posted
2026-01-16,"Shell","SHELL OIL 57541840906    KATY         TX",Gas,-42.32,Posted
2026-01-16,"Peacock TV","Roku for Peacock TV LLC  816-2728107  DE",Television,-11.79,Posted
2026-01-16,"Roku","The Roku Channel         816-2728107  DE",Television,-7.61,Posted
2026-01-15,"Zelle Transfer to Ana Cruz","Zelle: Ana Cruz",Transfer,-255.00,Posted
2026-01-15,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-249.41,Posted
2026-01-15,"Amazon","AMAZON MKTPL*RO9XJ8Q73   Amzn.com/billWA",Shopping,-28.93,Posted
2026-01-15,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-27.07,Posted
2026-01-14,"M&T Mortgage","M & T MORTGAGE   MTG PYT    ***********6182",Mortgage & Rent,-1558.50,Posted
2026-01-14,"Capital One","CAPITAL ONE      TRANSFER   ***********C1FC",Transfer,-420.00,Posted
2026-01-14,"Firstmark","FIRSTMARK        PAYMENTS   ***********1304",Student Loan,-108.37,Posted
2026-01-14,"Citi Credit Card Payment","CITI AUTOPAY     PAYMENT    ***********0020",Credit Card Payment,-0.72,Posted
2026-01-14,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-22.99,Posted
2026-01-14,"Alkami Technolog Payroll","ALKAMI TECHNOLOG PAYROLL    ***********2Y54",Paycheck,5297.33,Posted
2026-01-13,"Barclaycard","BARCLAYCARD US   CREDITCARD ***********5978",Credit Card Payment,-339.71,Posted
2026-01-13,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********2899",Babysitter & Daycare,-260.00,Posted
2026-01-13,"ExxonMobil","EXXON CHECKOUT #74       KATY         TX",Gas,-13.67,Posted
2026-01-13,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,361.50,Posted
2026-01-12,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-244.53,Posted
2026-01-12,"Uep Dumplingholic House","UEP*DUMPLINGHOLIC HOUSE  KATY         TX",Restaurants,-67.00,Posted
2026-01-12,"Loy Memhermanngohealthu","LOY*MEMHERMANNGOHEALTHU  281-947-0020 GA",Doctor,-30.00,Posted
2026-01-12,"CVS","CVS/PHARMACY #01 01996-  KATY         TX",Pharmacy,-29.48,Posted
2026-01-12,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-27.07,Posted
2026-01-12,"Amazon Digital Services","Amazon Digit*ND0JB3AB3   888-802-3080 WA",Electronics & Software,-6.99,Posted
2026-01-08,"BENEFEDS Dental and Vision","FEDVIP-BENEFEDS  FEDVIPPREM ***********4V01",Health & Fitness,-12.37,Posted
2026-01-08,"Zelle Transfer to Ana Cruz","Zelle: Ana Cruz",Transfer,-280.00,Posted
2026-01-08,"Klarna","Klarna*TickPick          Columbus     OH",Financial,-99.88,Posted
2026-01-08,"Tank?d and Loaded","SQ *TANK?D AND LOADED    Katy         TX",Fast Food,-36.80,Posted
2026-01-08,"Brookshire Brothers","BROOKSHIRE BROTHERS #9   KATY         TX",Groceries,-22.63,Posted
2026-01-08,"Glaze Doughnuts","SQ *GLAZE DOUGHNUTS      Katy         TX",Fast Food,-16.92,Posted
2026-01-07,"Waller Co Mud","WALLER CO MUD 37 FBS MDS WA ***********",Utilities,-108.00,Posted
2026-01-07,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-181.42,Posted
2026-01-07,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-52.56,Posted
2026-01-07,"Chevron","CHEVRON 0387710          KATY         TX",Gas,-31.75,Posted
2026-01-07,"TikTok Shop","TIKTOK SHOP              TIKTOK.COM   CA",Shopping,-30.51,Posted
2026-01-07,"PJ's Coffee","SQ *PJ'S COFFEE OF NEW   Katy         TX",Coffee Shops,-19.94,Posted
2026-01-07,"Buc-ee's","BUCEES 40 KATY TX CW     KATY         TX",Service & Parts,-16.00,Posted
2026-01-07,"ExxonMobil","EXXON CHECKOUT #74       KATY         TX",Gas,-11.45,Posted
2026-01-07,"Hou Parking Garage","HOU PARKING GARAGE       HOUSTON      TX",Parking,-8.50,Posted
2026-01-06,"Little Hands Lea","LITTLE HANDS LEA 2813943443 ***********4499",Babysitter & Daycare,-260.00,Posted
2026-01-06,"Progressive","PROG COUNTY MUT  INS PREM   ***********icah",Financial,-236.33,Posted
2026-01-06,"CVS","CVS/PHARMACY #01996      KATY         TX",Pharmacy,-10.00,Posted
2026-01-06,"Amazon Digital Services","Amazon Digit*Z34FO0SM3   888-802-3080 WA",Electronics & Software,-4.99,Posted
2026-01-06,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-2.99,Posted
2026-01-05,"Kia Motors Finance","KMF              KMFUSA.com ***********4937",Auto Payment,-527.73,Posted
2026-01-05,"The Home Depot","HOME DEPOT       AUTO PYMT  ***********0401",Home Improvement,-250.00,Posted
2026-01-05,"Target","TARGET DEBIT CRD ACH TRAN   ***********3329",Shopping,-76.08,Posted
2026-01-05,"Capital One Credit Card Payment","CAPITAL ONE      CRCARDPMT  ***********7503",Credit Card Payment,-62.00,Posted
2026-01-05,"Affirm","AFFIRM.COM PAYME AFFIRM.COM ***********O8W6",Financial,-55.42,Posted
2026-01-05,"Invest529 via Virginia529","INVEST529        PAYMENT    ***********1-63",Investments,-40.00,Posted
2026-01-05,"PayPal Purchase","PAYPAL           INST XFER  ***********RSRC",Uncategorized,-5.27,Posted
2026-01-05,"Rooftop Cinema Club Rooftopcinemaca","ROOFTOP CINEMA CLUB      ROOFTOPCINEMACA",Movies & Dvds,-96.34,Posted
2026-01-05,"H-E-B","HEB CURBSIDE             800-432-3113 TX",Groceries,-77.87,Posted
2026-01-05,"Brookshire Brothers","BROOKSHIRE BROTHERS #9   KATY         TX",Groceries,-49.11,Posted
2026-01-05,"Adobe","Adobe Inc                800-8336687  CA",Electronics & Software,-29.99,Posted
2026-01-05,"Best Buy","BESTBUY.COM              WWW.BESTBUY.CMN",Electronics & Software,-25.06,Posted
2026-01-05,"Starbucks","STARBUCKS 8007827282     800-782-7282 WA",Coffee Shops,-20.00,Posted
2026-01-02,"Atlantic Energy Services","ATLANTIC ENERGY  SERVICES   ***********5573",Utilities,-188.83,Posted
2026-01-02,"Greenlight","GREENLIGHT       APP        ***********IGHT",Allowance,-20.00,Posted
